Model Category,Model,ModelAbv,Variant,Parameter Name,Parameter Type,Description,Prior Distribution,Default Prior Distribution,AgentClass,SHORTCODE,FittingExtras,OptimizationAlgorithm,FitDir,RPE,Forgetting,Future Discounting,Perseverance,On-Policy
Value-Based RL,Differential Extinction Long-Term Q Learning,DE-LT-QL,e-greedy,gamma,learningrule,Discount Rate,Beta,"Beta(1,1)",DECQLearner_egreedy,DECQE,None,NUTS,None,+,-,+,-,-
Value-Based RL,Differential Extinction Long-Term Q Learning,DE-LT-QL,e-greedy,epsilon,policy,Exploration Rate,Beta,"Beta(1,1)",DECQLearner_egreedy,DECQE,None,NUTS,None,+,-,+,-,-
Value-Based RL,Differential Extinction Long-Term Q Learning,DE-LT-QL,softmax,alpha,learningrule,Learning Rate,Beta,"Beta(1,1)",DECQLearner_softmax,DECQS,None,NUTS,None,+,-,+,-,-
Value-Based RL,Differential Extinction Long-Term Q Learning,DE-LT-QL,softmax,tau,learningrule,Extinction Rate,Beta,"Beta(1,1)",DECQLearner_softmax,DECQS,None,NUTS,None,+,-,+,-,-
Value-Based RL,Differential Extinction Long-Term Q Learning,DE-LT-QL,softmax,gamma,learningrule,Discount Rate,Beta,"Beta(1,1)",DECQLearner_softmax,DECQS,None,NUTS,None,+,-,+,-,-
Value-Based RL,Differential Extinction Long-Term Q Learning,DE-LT-QL,softmax,beta,policy,Softmax Temperature,HalfNormal,Halfnormal(1),DECQLearner_softmax,DECQS,None,NUTS,None,+,-,+,-,-
Value-Based RL,Differential Extinction Long-Term Q Learning,DE-LT-QL,e-softmax,alpha,learningrule,Learning Rate,Beta,"Beta(1,1)",DECQLearner_esoftmax,DECQES,None,NUTS,None,+,-,+,-,-
Value-Based RL,Differential Extinction Long-Term Q Learning,DE-LT-QL,e-softmax,tau,learningrule,Extinction Rate,Beta,"Beta(1,1)",DECQLearner_esoftmax,DECQES,None,NUTS,None,+,-,+,-,-
Value-Based RL,Differential Extinction Long-Term Q Learning,DE-LT-QL,e-softmax,gamma,learningrule,Discount Rate,Beta,"Beta(1,1)",DECQLearner_esoftmax,DECQES,None,NUTS,None,+,-,+,-,-
Value-Based RL,Differential Extinction Long-Term Q Learning,DE-LT-QL,e-softmax,beta,policy,Softmax Temperature,HalfNormal,Halfnormal(1),DECQLearner_esoftmax,DECQES,None,NUTS,None,+,-,+,-,-
Value-Based RL,Differential Extinction Long-Term Q Learning,DE-LT-QL,e-softmax,epsilon,policy,Exploration Rate,Beta,"Beta(1,1)",DECQLearner_esoftmax,DECQES,None,NUTS,None,+,-,+,-,-
Value-Based RL,Differential Extinction Long-Term Q Learning,DE-LT-QL,acceptreject,alpha,learningrule,Learning Rate,Beta,"Beta(1,1)",DECQLearner_acceptreject,DECQBR,None,NUTS,modelfits/acceptreject/DECQBR_2022_04_09_13_43_22.nc,+,-,+,-,-
Value-Based RL,Differential Extinction Long-Term Q Learning,DE-LT-QL,acceptreject,tau,learningrule,Extinction Rate,Beta,"Beta(1,1)",DECQLearner_acceptreject,DECQBR,None,NUTS,modelfits/acceptreject/DECQBR_2022_04_09_13_43_22.nc,+,-,+,-,-
Value-Based RL,Differential Extinction Long-Term Q Learning,DE-LT-QL,acceptreject,gamma,learningrule,Discount Rate,Beta,"Beta(1,1)",DECQLearner_acceptreject,DECQBR,None,NUTS,modelfits/acceptreject/DECQBR_2022_04_09_13_43_22.nc,+,-,+,-,-
Value-Based RL,Differential Extinction Long-Term Q Learning,DE-LT-QL,acceptreject,weight,policy,Q-value weight,Normal,"Normal(0,1)",DECQLearner_acceptreject,DECQBR,None,NUTS,modelfits/acceptreject/DECQBR_2022_04_09_13_43_22.nc,+,-,+,-,-
Value-Based RL,Differential Extinction Long-Term Q Learning,DE-LT-QL,acceptreject,intercept,policy,Q-value intercept,Normal,"Normal(0,1)",DECQLearner_acceptreject,DECQBR,None,NUTS,modelfits/acceptreject/DECQBR_2022_04_09_13_43_22.nc,+,-,+,-,-
Value-Based RL,Immediate Omission Sensitive Q Learning ,I-OS-QL,e-greedy,alpha,learningrule,Learning Rate,Beta,"Beta(1,1)",OSQLearner_egreedy,OSQE,None,NUTS,None,+,-,-,+,-
Value-Based RL,Immediate Omission Sensitive Q Learning ,I-OS-QL,e-greedy,theta,learningrule,Omission Sensitivity,Normal,"Normal(0,1)",OSQLearner_egreedy,OSQE,None,NUTS,None,+,-,-,+,-
Value-Based RL,Immediate Omission Sensitive Q Learning ,I-OS-QL,e-greedy,epsilon,policy,Exploration Rate,Beta,"Beta(1,1)",OSQLearner_egreedy,OSQE,None,NUTS,None,+,-,-,+,-
Value-Based RL,Immediate Omission Sensitive Q Learning ,I-OS-QL,softmax,alpha,learningrule,Learning Rate,Beta,"Beta(1,1)",OSQLearner_softmax,OSQS,None,NUTS,None,+,-,-,+,-
Value-Based RL,Immediate Omission Sensitive Q Learning ,I-OS-QL,softmax,theta,learningrule,Omission Sensitivity,Normal,"Normal(0,1)",OSQLearner_softmax,OSQS,None,NUTS,None,+,-,-,+,-
Value-Based RL,Immediate Omission Sensitive Q Learning ,I-OS-QL,softmax,beta,policy,Softmax Temperature,HalfNormal,Halfnormal(1),OSQLearner_softmax,OSQS,None,NUTS,None,+,-,-,+,-
Value-Based RL,Immediate Omission Sensitive Q Learning ,I-OS-QL,e-softmax,alpha,learningrule,Learning Rate,Beta,"Beta(1,1)",OSQLearner_esoftmax,OSQES,None,NUTS,modelfits/OSQES_2022_03_09_19_19_49.nc,+,-,-,+,-
Value-Based RL,Immediate Omission Sensitive Q Learning ,I-OS-QL,e-softmax,theta,learningrule,Omission Sensitivity,Normal,"Normal(0,1)",OSQLearner_esoftmax,OSQES,None,NUTS,modelfits/OSQES_2022_03_09_19_19_49.nc,+,-,-,+,-
Value-Based RL,Immediate Omission Sensitive Q Learning ,I-OS-QL,e-softmax,beta,policy,Softmax Temperature,HalfNormal,Halfnormal(1),OSQLearner_esoftmax,OSQES,None,NUTS,modelfits/OSQES_2022_03_09_19_19_49.nc,+,-,-,+,-
Value-Based RL,Immediate Omission Sensitive Q Learning ,I-OS-QL,e-softmax,epsilon,policy,Exploration Rate,Beta,"Beta(1,1)",OSQLearner_esoftmax,OSQES,None,NUTS,modelfits/OSQES_2022_03_09_19_19_49.nc,+,-,-,+,-
Value-Based RL,Immediate Omission Sensitive Q Learning ,I-OS-QL,acceptreject,alpha,learningrule,Learning Rate,Beta,"Beta(1,1)",OSQLearner_acceptreject,OSQBR,None,NUTS,modelfits/acceptreject/OSQBR_2022_04_09_19_41_05.nc,+,-,-,+,-
Value-Based RL,Immediate Omission Sensitive Q Learning ,I-OS-QL,acceptreject,theta,learningrule,Omission Sensitivity,Normal,"Normal(0,1)",OSQLearner_acceptreject,OSQBR,None,NUTS,modelfits/acceptreject/OSQBR_2022_04_09_19_41_05.nc,+,-,-,+,-
Value-Based RL,Immediate Omission Sensitive Q Learning ,I-OS-QL,acceptreject,weight,policy,Q-value weight,Normal,"Normal(0,1)",OSQLearner_acceptreject,OSQBR,None,NUTS,modelfits/acceptreject/OSQBR_2022_04_09_19_41_05.nc,+,-,-,+,-
Value-Based RL,Immediate Omission Sensitive Q Learning ,I-OS-QL,acceptreject,intercept,policy,Q-value intercept,Normal,"Normal(0,1)",OSQLearner_acceptreject,OSQBR,None,NUTS,modelfits/acceptreject/OSQBR_2022_04_09_19_41_05.nc,+,-,-,+,-
Value-Based RL, Long-Term Omission Sensitive Q Learning ,LT-OS-QL,e-greedy,alpha,learningrule,Learning Rate,Beta,"Beta(1,1)",OSCQLearner_egreedy,OSCQE,None,NUTS,None,+,-,+,+,-
Value-Based RL, Long-Term Omission Sensitive Q Learning ,LT-OS-QL,e-greedy,gamma,learningrule,Discount Rate,Beta,"Beta(1,1)",OSCQLearner_egreedy,OSCQE,None,NUTS,None,+,-,+,+,-
Value-Based RL, Long-Term Omission Sensitive Q Learning ,LT-OS-QL,e-greedy,theta,learningrule,Omission Sensitivity,Normal,"Normal(0,1)",OSCQLearner_egreedy,OSCQE,None,NUTS,None,+,-,+,+,-
Value-Based RL, Long-Term Omission Sensitive Q Learning ,LT-OS-QL,e-greedy,epsilon,policy,Exploration Rate,Beta,"Beta(1,1)",OSCQLearner_egreedy,OSCQE,None,NUTS,None,+,-,+,+,-
Value-Based RL, Long-Term Omission Sensitive Q Learning ,LT-OS-QL,softmax,alpha,learningrule,Learning Rate,Beta,"Beta(1,1)",OSCQLearner_softmax,OSCQS,None,NUTS,None,+,-,+,+,-
Value-Based RL, Long-Term Omission Sensitive Q Learning ,LT-OS-QL,softmax,gamma,learningrule,Discount Rate,Beta,"Beta(1,1)",OSCQLearner_softmax,OSCQE,None,NUTS,None,+,-,+,+,-
Value-Based RL, Long-Term Omission Sensitive Q Learning ,LT-OS-QL,softmax,theta,learningrule,Omission Sensitivity,Normal,"Normal(0,1)",OSCQLearner_softmax,OSCQS,None,NUTS,None,+,-,+,+,-
Value-Based RL, Long-Term Omission Sensitive Q Learning ,LT-OS-QL,softmax,beta,policy,Softmax Temperature,HalfNormal,Halfnormal(1),OSCQLearner_softmax,OSCQS,None,NUTS,None,+,-,+,+,-
Value-Based RL, Long-Term Omission Sensitive Q Learning ,LT-OS-QL,e-softmax,alpha,learningrule,Learning Rate,Beta,"Beta(1,1)",OSCQLearner_esoftmax,OSCQES,None,NUTS,modelfits/OSCQES_2022_03_09_19_21_23.nc,+,-,+,+,-
Value-Based RL, Long-Term Omission Sensitive Q Learning ,LT-OS-QL,e-softmax,gamma,learningrule,Discount Rate,Beta,"Beta(1,1)",OSCQLearner_esoftmax,OSCQES,None,NUTS,modelfits/OSCQES_2022_03_09_19_21_23.nc,+,-,+,+,-
Value-Based RL, Long-Term Omission Sensitive Q Learning ,LT-OS-QL,e-softmax,theta,learningrule,Omission Sensitivity,Normal,"Normal(0,1)",OSCQLearner_esoftmax,OSCQES,None,NUTS,modelfits/OSCQES_2022_03_09_19_21_23.nc,+,-,+,+,-
Value-Based RL, Long-Term Omission Sensitive Q Learning ,LT-OS-QL,e-softmax,beta,policy,Softmax Temperature,HalfNormal,Halfnormal(1),OSCQLearner_esoftmax,OSCQES,None,NUTS,modelfits/OSCQES_2022_03_09_19_21_23.nc,+,-,+,+,-
Value-Based RL, Long-Term Omission Sensitive Q Learning ,LT-OS-QL,e-softmax,epsilon,policy,Exploration Rate,Beta,"Beta(1,1)",OSCQLearner_esoftmax,OSCQES,None,NUTS,modelfits/OSCQES_2022_03_09_19_21_23.nc,+,-,+,+,-
Value-Based RL, Long-Term Omission Sensitive Q Learning ,LT-OS-QL,acceptreject,alpha,learningrule,Learning Rate,Beta,"Beta(1,1)",OSCQLearner_acceptreject,OSCQBR,None,NUTS,modelfits/acceptreject/OSCQBR_2022_04_09_19_41_05.nc,+,-,+,+,-
Value-Based RL, Long-Term Omission Sensitive Q Learning ,LT-OS-QL,acceptreject,gamma,learningrule,Discount Rate,Beta,"Beta(1,1)",OSCQLearner_acceptreject,OSCQBR,None,NUTS,modelfits/acceptreject/OSCQBR_2022_04_09_19_41_05.nc,+,-,+,+,-
Value-Based RL, Long-Term Omission Sensitive Q Learning ,LT-OS-QL,acceptreject,theta,learningrule,Omission Sensitivity,Normal,"Normal(0,1)",OSCQLearner_acceptreject,OSCQBR,None,NUTS,modelfits/acceptreject/OSCQBR_2022_04_09_19_41_05.nc,+,-,+,+,-
Value-Based RL, Long-Term Omission Sensitive Q Learning ,LT-OS-QL,acceptreject,weight,policy,Q-value weight,Normal,"Normal(0,1)",OSCQLearner_acceptreject,OSCQBR,None,NUTS,modelfits/acceptreject/OSCQBR_2022_04_09_19_41_05.nc,+,-,+,+,-
Value-Based RL, Long-Term Omission Sensitive Q Learning ,LT-OS-QL,acceptreject,intercept,policy,Q-value intercept,Normal,"Normal(0,1)",OSCQLearner_acceptreject,OSCQBR,None,NUTS,modelfits/acceptreject/OSCQBR_2022_04_09_19_41_05.nc,+,-,+,+,-
Value-Based RL,Forgetting Immediate Omission Sensitive Q Learning ,F-I-OS-QL,e-greedy,alpha,learningrule,Learning/Forgetting Rate,Beta,"Beta(1,1)",FOSQLearner_egreedy,FOSQE,None,NUTS,None,+,+,-,+,-
Value-Based RL,Forgetting Immediate Omission Sensitive Q Learning ,F-I-OS-QL,e-greedy,theta,learningrule,Omission Sensitivity,Normal,"Normal(0,1)",FOSQLearner_egreedy,FOSQE,None,NUTS,None,+,+,-,+,-
Value-Based RL,Forgetting Immediate Omission Sensitive Q Learning ,F-I-OS-QL,e-greedy,epsilon,policy,Exploration Rate,Beta,"Beta(1,1)",FOSQLearner_egreedy,FOSQE,None,NUTS,None,+,+,-,+,-
Value-Based RL,Forgetting Immediate Omission Sensitive Q Learning ,F-I-OS-QL,softmax,alpha,learningrule,Learning/Forgetting Rate,Beta,"Beta(1,1)",FOSQLearner_softmax,FOSQS,None,NUTS,None,+,+,-,+,-
Value-Based RL,Forgetting Immediate Omission Sensitive Q Learning ,F-I-OS-QL,softmax,theta,learningrule,Omission Sensitivity,Normal,"Normal(0,1)",FOSQLearner_softmax,FOSQS,None,NUTS,None,+,+,-,+,-
Value-Based RL,Forgetting Immediate Omission Sensitive Q Learning ,F-I-OS-QL,softmax,beta,policy,Softmax Temperature,HalfNormal,Halfnormal(1),FOSQLearner_softmax,FOSQS,None,NUTS,None,+,+,-,+,-
Value-Based RL,Forgetting Immediate Omission Sensitive Q Learning ,F-I-OS-QL,e-softmax,alpha,learningrule,Learning/Forgetting Rate,Beta,"Beta(1,1)",FOSQLearner_esoftmax,FOSQES,None,NUTS,None,+,+,-,+,-
Value-Based RL,Forgetting Immediate Omission Sensitive Q Learning ,F-I-OS-QL,e-softmax,theta,learningrule,Omission Sensitivity,Normal,"Normal(0,1)",FOSQLearner_esoftmax,FOSQES,None,NUTS,None,+,+,-,+,-
Value-Based RL,Forgetting Immediate Omission Sensitive Q Learning ,F-I-OS-QL,e-softmax,beta,policy,Softmax Temperature,HalfNormal,Halfnormal(1),FOSQLearner_esoftmax,FOSQES,None,NUTS,None,+,+,-,+,-
Value-Based RL,Forgetting Immediate Omission Sensitive Q Learning ,F-I-OS-QL,e-softmax,epsilon,policy,Exploration Rate,Beta,"Beta(1,1)",FOSQLearner_esoftmax,FOSQES,None,NUTS,None,+,+,-,+,-
Value-Based RL,Forgetting Immediate Omission Sensitive Q Learning ,F-I-OS-QL,acceptreject,alpha,learningrule,Learning/Forgetting Rate,Beta,"Beta(1,1)",FOSQLearner_acceptreject,FOSQBR,None,NUTS,modelfits/acceptreject/FOSQBR_2022_04_12_14_09_52.nc,+,+,-,+,-
Value-Based RL,Forgetting Immediate Omission Sensitive Q Learning ,F-I-OS-QL,acceptreject,theta,learningrule,Omission Sensitivity,Normal,"Normal(0,1)",FOSQLearner_acceptreject,FOSQBR,None,NUTS,modelfits/acceptreject/FOSQBR_2022_04_12_14_09_52.nc,+,+,-,+,-
Value-Based RL,Forgetting Immediate Omission Sensitive Q Learning ,F-I-OS-QL,acceptreject,weight,policy,Q-value weight,Normal,"Normal(0,1)",FOSQLearner_acceptreject,FOSQBR,None,NUTS,modelfits/acceptreject/FOSQBR_2022_04_12_14_09_52.nc,+,+,-,+,-
Value-Based RL,Forgetting Immediate Omission Sensitive Q Learning ,F-I-OS-QL,acceptreject,intercept,policy,Q-value intercept,Normal,"Normal(0,1)",FOSQLearner_acceptreject,FOSQBR,None,NUTS,modelfits/acceptreject/FOSQBR_2022_04_12_14_09_52.nc,+,+,-,+,-
Value-Based RL,Forgetting Long-Term Omission Sensitive Q Learning ,F-LT-OS-QL,e-greedy,alpha,learningrule,Learning/Forgetting Rate,Beta,"Beta(1,1)",FOSCQLearner_egreedy,FOSCQE,None,NUTS,None,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Omission Sensitive Q Learning ,F-LT-OS-QL,e-greedy,gamma,learningrule,Discount Rate,Beta,"Beta(1,1)",FOSCQLearner_egreedy,FOSCQE,None,NUTS,None,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Omission Sensitive Q Learning ,F-LT-OS-QL,e-greedy,theta,learningrule,Omission Sensitivity,Normal,"Normal(0,1)",FOSCQLearner_egreedy,FOSCQE,None,NUTS,None,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Omission Sensitive Q Learning ,F-LT-OS-QL,e-greedy,epsilon,policy,Exploration Rate,Beta,"Beta(1,1)",FOSCQLearner_egreedy,FOSCQE,None,NUTS,None,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Omission Sensitive Q Learning ,F-LT-OS-QL,softmax,alpha,learningrule,Learning Rate,Beta,"Beta(1,1)",FOSCQLearner_softmax,FOSCQS,None,NUTS,None,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Omission Sensitive Q Learning ,F-LT-OS-QL,softmax,gamma,learningrule,Discount Rate,Beta,"Beta(1,1)",FOSCQLearner_softmax,FOSCQS,None,NUTS,None,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Omission Sensitive Q Learning ,F-LT-OS-QL,softmax,theta,learningrule,Omission Sensitivity,Normal,"Normal(0,1)",FOSCQLearner_softmax,FOSCQS,None,NUTS,None,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Omission Sensitive Q Learning ,F-LT-OS-QL,softmax,beta,policy,Softmax Temperature,HalfNormal,Halfnormal(1),FOSCQLearner_softmax,FOSCQS,None,NUTS,None,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Omission Sensitive Q Learning ,F-LT-OS-QL,e-softmax,alpha,learningrule,Learning/Forgetting Rate,Beta,"Beta(1,1)",FOSCQLearner_esoftmax,FOSCQES,None,NUTS,None,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Omission Sensitive Q Learning ,F-LT-OS-QL,e-softmax,gamma,learningrule,Discount Rate,Beta,"Beta(1,1)",FOSCQLearner_esoftmax,FOSCQES,None,NUTS,None,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Omission Sensitive Q Learning ,F-LT-OS-QL,e-softmax,theta,learningrule,Omission Sensitivity,Normal,"Normal(0,1)",FOSCQLearner_esoftmax,FOSCQES,None,NUTS,None,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Omission Sensitive Q Learning ,F-LT-OS-QL,e-softmax,beta,policy,Softmax Temperature,HalfNormal,Halfnormal(1),FOSCQLearner_esoftmax,FOSCQES,None,NUTS,None,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Omission Sensitive Q Learning ,F-LT-OS-QL,e-softmax,epsilon,policy,Exploration Rate,Beta,"Beta(1,1)",FOSCQLearner_esoftmax,FOSCQES,None,NUTS,None,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Omission Sensitive Q Learning ,F-LT-OS-QL,acceptreject,alpha,learningrule,Learning/Forgetting Rate,Beta,"Beta(1,1)",FOSCQLearner_acceptreject,FOSCQBR,None,NUTS,modelfits/acceptreject/FOSCQBR_2022_04_12_14_09_37.nc,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Omission Sensitive Q Learning ,F-LT-OS-QL,acceptreject,gamma,learningrule,Discount Rate,Beta,"Beta(1,1)",FOSCQLearner_acceptreject,FOSCQBR,None,NUTS,modelfits/acceptreject/FOSCQBR_2022_04_12_14_09_37.nc,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Omission Sensitive Q Learning ,F-LT-OS-QL,acceptreject,theta,learningrule,Omission Sensitivity,Normal,"Normal(0,1)",FOSCQLearner_acceptreject,FOSCQBR,None,NUTS,modelfits/acceptreject/FOSCQBR_2022_04_12_14_09_37.nc,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Omission Sensitive Q Learning ,F-LT-OS-QL,acceptreject,weight,policy,Q-value weight,Normal,"Normal(0,1)",FOSCQLearner_acceptreject,FOSCQBR,None,NUTS,modelfits/acceptreject/FOSCQBR_2022_04_12_14_09_37.nc,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Omission Sensitive Q Learning ,F-LT-OS-QL,acceptreject,intercept,policy,Q-value intercept,Normal,"Normal(0,1)",FOSCQLearner_acceptreject,FOSCQBR,None,NUTS,modelfits/acceptreject/FOSCQBR_2022_04_12_14_09_37.nc,+,+,+,+,-
Value-Based RL,Differential Forgetting Immediate Omission Sensitive Q Learning ,DF-I-OS-QL,e-greedy,alpha,learningrule,Learning Rate,Beta,"Beta(1,1)",DFOSQLearner_egreedy,DFOSQE,None,NUTS,None,+,+,-,+,-
Value-Based RL,Differential Forgetting Immediate Omission Sensitive Q Learning ,DF-I-OS-QL,e-greedy,kappa,learningrule,Forgetting Rate,Beta,"Beta(1,1)",DFOSQLearner_egreedy,DFOSQE,None,NUTS,None,+,+,-,+,-
Value-Based RL,Differential Forgetting Immediate Omission Sensitive Q Learning ,DF-I-OS-QL,e-greedy,theta,learningrule,Omission Sensitivity,Normal,"Normal(0,1)",DFOSQLearner_egreedy,DFOSQE,None,NUTS,None,+,+,-,+,-
Value-Based RL,Differential Forgetting Immediate Omission Sensitive Q Learning ,DF-I-OS-QL,e-greedy,epsilon,policy,Exploration Rate,Beta,"Beta(1,1)",DFOSQLearner_egreedy,DFOSQE,None,NUTS,None,+,+,-,+,-
Value-Based RL,Differential Forgetting Immediate Omission Sensitive Q Learning ,DF-I-OS-QL,softmax,alpha,learningrule,Learning Rate,Beta,"Beta(1,1)",DFOSQLearner_softmax,DFOSQS,None,NUTS,None,+,+,-,+,-
Value-Based RL,Differential Forgetting Immediate Omission Sensitive Q Learning ,DF-I-OS-QL,softmax,kappa,learningrule,Forgetting Rate,Beta,"Beta(1,1)",DFOSQLearner_softmax,DFOSQS,None,NUTS,None,+,+,-,+,-
Value-Based RL,Differential Forgetting Immediate Omission Sensitive Q Learning ,DF-I-OS-QL,softmax,theta,learningrule,Omission Sensitivity,Normal,"Normal(0,1)",DFOSQLearner_softmax,DFOSQS,None,NUTS,None,+,+,-,+,-
Value-Based RL,Differential Forgetting Immediate Omission Sensitive Q Learning ,DF-I-OS-QL,softmax,beta,policy,Softmax Temperature,HalfNormal,Halfnormal(1),DFOSQLearner_softmax,DFOSQS,None,NUTS,None,+,+,-,+,-
Value-Based RL,Differential Forgetting Immediate Omission Sensitive Q Learning ,DF-I-OS-QL,e-softmax,alpha,learningrule,Learning Rate,Beta,"Beta(1,1)",DFOSQLearner_esoftmax,DFOSQES,None,NUTS,None,+,+,-,+,-
Value-Based RL,Differential Forgetting Immediate Omission Sensitive Q Learning ,DF-I-OS-QL,e-softmax,kappa,learningrule,Forgetting Rate,Beta,"Beta(1,1)",DFOSQLearner_esoftmax,DFOSQES,None,NUTS,None,+,+,-,+,-
Value-Based RL,Differential Forgetting Immediate Omission Sensitive Q Learning ,DF-I-OS-QL,e-softmax,theta,learningrule,Omission Sensitivity,Normal,"Normal(0,1)",DFOSQLearner_esoftmax,DFOSQES,None,NUTS,None,+,+,-,+,-
Value-Based RL,Differential Forgetting Immediate Omission Sensitive Q Learning ,DF-I-OS-QL,e-softmax,beta,policy,Softmax Temperature,HalfNormal,Halfnormal(1),DFOSQLearner_esoftmax,DFOSQES,None,NUTS,None,+,+,-,+,-
Value-Based RL,Differential Forgetting Immediate Omission Sensitive Q Learning ,DF-I-OS-QL,e-softmax,epsilon,policy,Exploration Rate,Beta,"Beta(1,1)",DFOSQLearner_esoftmax,DFOSQES,None,NUTS,None,+,+,-,+,-
Value-Based RL,Differential Forgetting Immediate Omission Sensitive Q Learning ,DF-I-OS-QL,acceptreject,alpha,learningrule,Learning Rate,Beta,"Beta(1,1)",DFOSQLearner_acceptreject,DFOSQBR,None,NUTS,modelfits/acceptreject/DFOSQBR_2022_04_20_17_01_19.nc,+,+,-,+,-
Value-Based RL,Differential Forgetting Immediate Omission Sensitive Q Learning ,DF-I-OS-QL,acceptreject,kappa,learningrule,Forgetting Rate,Beta,"Beta(1,1)",DFOSQLearner_acceptreject,DFOSQBR,None,NUTS,modelfits/acceptreject/DFOSQBR_2022_04_20_17_01_19.nc,+,+,-,+,-
Value-Based RL,Differential Forgetting Immediate Omission Sensitive Q Learning ,DF-I-OS-QL,acceptreject,theta,learningrule,Omission Sensitivity,Normal,"Normal(0,1)",DFOSQLearner_acceptreject,DFOSQBR,None,NUTS,modelfits/acceptreject/DFOSQBR_2022_04_20_17_01_19.nc,+,+,-,+,-
Value-Based RL,Differential Forgetting Immediate Omission Sensitive Q Learning ,DF-I-OS-QL,acceptreject,weight,policy,Q-value weight,Normal,"Normal(0,1)",DFOSQLearner_acceptreject,DFOSQBR,None,NUTS,modelfits/acceptreject/DFOSQBR_2022_04_20_17_01_19.nc,+,+,-,+,-
Value-Based RL,Differential Forgetting Immediate Omission Sensitive Q Learning ,DF-I-OS-QL,acceptreject,intercept,policy,Q-value intercept,Normal,"Normal(0,1)",DFOSQLearner_acceptreject,DFOSQBR,None,NUTS,modelfits/acceptreject/DFOSQBR_2022_04_20_17_01_19.nc,+,+,-,+,-
Value-Based RL,Differential Forgetting Long-Term Omission Sensitive Q Learning ,DF-LT-OS-QL,e-greedy,alpha,learningrule,Learning Rate,Beta,"Beta(1,1)",DFOSCQLearner_egreedy,DFOSCQE,None,NUTS,None,+,+,+,+,-
Value-Based RL,Differential Forgetting Long-Term Omission Sensitive Q Learning ,DF-LT-OS-QL,e-greedy,kappa,learningrule,Forgetting Rate,Beta,"Beta(1,1)",DFOSCQLearner_egreedy,DFOSCQE,None,NUTS,None,+,+,+,+,-
Value-Based RL,Differential Forgetting Long-Term Omission Sensitive Q Learning ,DF-LT-OS-QL,e-greedy,gamma,learningrule,Discount Rate,Beta,"Beta(1,1)",DFOSCQLearner_egreedy,DFOSCQE,None,NUTS,None,+,+,+,+,-
Value-Based RL,Differential Forgetting Long-Term Omission Sensitive Q Learning ,DF-LT-OS-QL,e-greedy,theta,learningrule,Omission Sensitivity,Normal,"Normal(0,1)",DFOSCQLearner_egreedy,DFOSCQE,None,NUTS,None,+,+,+,+,-
Value-Based RL,Differential Forgetting Long-Term Omission Sensitive Q Learning ,DF-LT-OS-QL,e-greedy,epsilon,policy,Exploration Rate,Beta,"Beta(1,1)",DFOSCQLearner_egreedy,DFOSCQE,None,NUTS,None,+,+,+,+,-
Value-Based RL,Differential Forgetting Long-Term Omission Sensitive Q Learning ,DF-LT-OS-QL,softmax,alpha,learningrule,Learning Rate,Beta,"Beta(1,1)",DFOSCQLearner_softmax,DFOSCQE,None,NUTS,None,+,+,+,+,-
Value-Based RL,Differential Forgetting Long-Term Omission Sensitive Q Learning ,DF-LT-OS-QL,softmax,kappa,learningrule,Forgetting Rate,Beta,"Beta(1,1)",DFOSCQLearner_softmax,DFOSCQE,None,NUTS,None,+,+,+,+,-
Value-Based RL,Differential Forgetting Long-Term Omission Sensitive Q Learning ,DF-LT-OS-QL,softmax,gamma,learningrule,Discount Rate,Beta,"Beta(1,1)",DFOSCQLearner_softmax,DFOSCQE,None,NUTS,None,+,+,+,+,-
Value-Based RL,Differential Forgetting Long-Term Omission Sensitive Q Learning ,DF-LT-OS-QL,softmax,theta,learningrule,Omission Sensitivity,Normal,"Normal(0,1)",DFOSCQLearner_softmax,DFOSCQE,None,NUTS,None,+,+,+,+,-
Value-Based RL,Differential Forgetting Long-Term Omission Sensitive Q Learning ,DF-LT-OS-QL,softmax,beta,policy,Softmax Temperature,HalfNormal,Halfnormal(1),DFOSCQLearner_softmax,DFOSCQE,None,NUTS,None,+,+,+,+,-
Value-Based RL,Differential Forgetting Long-Term Omission Sensitive Q Learning ,DF-LT-OS-QL,e-softmax,alpha,learningrule,Learning Rate,Beta,"Beta(1,1)",DFOSCQLearner_esoftmax,DFOSCQES,None,NUTS,None,+,+,+,+,-
